Lead Origin,Lead Source,Do Not Email,Do Not Call,TotalVisits,Total Time Spent on Website,Page Views Per Visit,What is your current occupation,Lead Quality,Asymmetrique Activity Score,Asymmetrique Profile Score,Last Notable Activity,Converted,Prob_Score
Landing Page Submission,Direct Traffic,No,No,1,1808,1,Unknown,Unkown,14,14,Modified,1,32.772283
Landing Page Submission,Direct Traffic,Yes,No,2,234,1,Unemployed,Not Sure,15,18,Modified,0,1.568422512
Landing Page Submission,Direct Traffic,No,No,3,245,3,Unemployed,Might be,13,17,Modified,0,18.92090339
Landing Page Submission,Organic Search,No,No,8,1268,4,Unemployed,Unkown,16,18,Email Opened,1,52.20658173
Landing Page Submission,Google,No,No,2,56,2,Unemployed,Unkown,12,15,Modified,0,3.744616827
API,Referral Sites,No,No,4,174,2,Unemployed,Unkown,13,13,Modified,0,10.86877832
Landing Page Submission,Direct Traffic,No,No,4,1149,2,Unemployed,Unkown,14,18,Email Opened,0,35.90011084
Landing Page Submission,Direct Traffic,No,No,2,333,2,Unknown,Unkown,14,13,Email Opened,0,7.331471781
API,Organic Search,No,No,7,471,2.33,Unemployed,Unkown,14,15,Email Opened,0,32.47304359
Landing Page Submission,Direct Traffic,No,No,3,1010,3,Unemployed,Might be,15,16,Email Opened,1,73.77246897
API,Olark Chat,No,No,10,1815,3.33,Unemployed,High in Relevance,15,17,Had a Phone Conversation,1,95.56742755
Landing Page Submission,Direct Traffic,No,No,2,47,2,Unemployed,Unkown,14,16,Email Link Clicked,0,6.898463391
Landing Page Submission,Direct Traffic,No,No,3,1528,1.5,Unemployed,Might be,14,16,Modified,1,75.32845276
Landing Page Submission,Google,No,No,6,919,6,Unemployed,High in Relevance,14,20,Email Opened,1,52.72466987
API,Organic Search,No,No,10,194,5,Unemployed,Unkown,13,15,Modified,0,7.903394587
API,Organic Search,No,No,1,1173,1,Unemployed,Unkown,14,15,Modified,0,40.63518181
API,Google,No,No,2,351,2,Unemployed,Might be,13,15,Email Opened,0,68.80469511
Landing Page Submission,Referral Sites,No,No,12,493,12,Unknown,Unkown,16,16,Email Link Clicked,0,9.050979413
Landing Page Submission,Direct Traffic,No,No,3,381,1.5,Unemployed,Not Sure,13,17,Page Visited on Website,0,7.561976834
API,Referral Sites,No,No,2,1944,2,Unknown,Unkown,14,13,Email Opened,0,83.47924025
Landing Page Submission,Google,No,No,5,65,5,Unemployed,Might be,13,17,Modified,0,17.82523784
API,Organic Search,No,No,7,1334,7,Unknown,Unkown,14,16,Modified,0,25.81175065
API,Google,No,No,7,615,7,Unknown,Unkown,13,15,Modified,0,7.962906416
Lead Add Form,Reference,No,No,0,0,0,Working Professional,Low in Relevance,14,20,Email Opened,1,99.22527193
API,Google,No,No,1,250,1,Unemployed,Unkown,13,15,Modified,0,10.38488327
Landing Page Submission,Direct Traffic,No,No,2,383,2,Unknown,Unkown,14,16,Email Link Clicked,0,7.775829725
Lead Add Form,Welingak Website,No,No,3,1240,2,Unemployed,Low in Relevance,14,18,Modified,1,98.29614741
Lead Add Form,Reference,No,No,0,0,0,Working Professional,Might be,14,19,Email Opened,1,99.06565003
Lead Add Form,Welingak Website,No,No,3,458,2,Unemployed,Unkown,14,15,Modified,1,63.75078103
Lead Add Form,Welingak Website,No,No,3,1060,2,Unemployed,Unkown,14,15,Modified,1,84.09029458
API,Olark Chat,No,No,0,0,0,Unemployed,Unkown,14,15,Modified,0,9.071820326
API,Referral Sites,No,No,4,904,4,Unemployed,Unkown,17,13,Modified,0,33.21846128
API,Google,No,No,1,164,1,Unknown,Unkown,14,15,Modified,0,6.120867728
API,Google,No,No,2,1793,2,Unemployed,Unkown,11,15,Modified,0,61.1139412
API,Organic Search,No,No,5,1841,5,Unemployed,Unkown,15,15,Modified,0,64.39944659
API,Organic Search,No,No,8,877,2.67,Unemployed,Might be,14,16,Email Link Clicked,1,86.83707584
Lead Add Form,Reference,No,No,0,0,0,Unemployed,High in Relevance,14,20,Modified,1,77.19530972
Landing Page Submission,Organic Search,No,No,12,1411,6,Unemployed,Might be,16,16,Email Opened,1,89.55420229
API,Organic Search,No,No,6,385,6,Unemployed,Low in Relevance,15,16,Modified,1,48.41392229
API,Olark Chat,No,No,0,0,0,Unknown,Unkown,17,15,Modified,0,6.98678892
API,Google,No,No,12,68,1.71,Unknown,Unkown,16,15,Modified,0,6.726557886
API,Olark Chat,No,No,0,0,0,Unknown,Unkown,17,15,Modified,0,6.98678892
Landing Page Submission,Google,No,No,3,192,3,Unknown,Unkown,14,17,Email Opened,0,7.544327209
Landing Page Submission,Google,No,No,5,309,5,Unknown,Unkown,15,18,Modified,0,3.422300763
Lead Add Form,Reference,No,No,3,785,2,Unemployed,Might be,15,17,Modified,1,96.89146181
API,Organic Search,No,No,4,342,4,Unemployed,Unkown,14,15,Modified,0,10.57159417
API,Google,No,No,2,78,1,Unemployed,Unkown,15,15,Email Opened,0,20.24743315
API,Olark Chat,No,No,0,0,0,Unknown,Unkown,17,15,Modified,0,6.98678892
API,Olark Chat,No,No,0,0,0,Unknown,Unkown,17,15,Modified,0,6.98678892
API,Organic Search,No,No,5,1234,1.67,Student,Low in Relevance,16,17,Email Opened,1,96.4895093
API,Organic Search,No,No,8,14,8,Unemployed,Worst,15,15,Modified,0,3.794630435
API,Olark Chat,No,No,0,0,0,Unemployed,Unkown,15,15,Modified,0,9.640328329
API,Referral Sites,No,No,4,77,4,Unemployed,Unkown,12,13,Modified,0,7.274501771
API,Referral Sites,No,No,3,1299,3,Unemployed,Unkown,16,13,Modified,1,50.89284846
Lead Add Form,Reference,No,No,0,0,0,Unemployed,High in Relevance,14,19,Email Opened,1,89.80965193
API,Referral Sites,No,No,2,457,2,Unemployed,Unkown,13,13,Modified,0,16.44519828
API,Organic Search,No,No,5,358,5,Unemployed,Not Sure,15,15,Modified,0,7.396680308
Landing Page Submission,Direct Traffic,No,No,3,481,3,Unknown,Unkown,13,16,Email Link Clicked,0,8.01587343
API,Direct Traffic,No,No,2,205,2,Unemployed,Unkown,11,15,Modified,0,5.392659448
Landing Page Submission,Direct Traffic,No,No,1,1106,1,Unemployed,Might be,15,16,Modified,1,60.40832945
Landing Page Submission,Direct Traffic,No,No,9,1953,1.8,Unemployed,Might be,15,17,Modified,1,88.43901973
Lead Add Form,Reference,No,No,3,1070,2,Unemployed,High in Relevance,14,18,Modified,1,95.51928749
Lead Add Form,Reference,No,No,0,0,0,Unemployed,Might be,14,17,Email Opened,1,95.35419575
Landing Page Submission,Google,No,No,5,207,2.5,Unknown,Unkown,12,18,Modified,0,2.98351601
Landing Page Submission,Direct Traffic,No,No,2,1587,2,Unemployed,Might be,14,13,Email Opened,1,89.43217579
Landing Page Submission,Direct Traffic,No,No,2,1509,2,Unemployed,Worst,10,18,Modified,1,19.42603938
API,Organic Search,No,No,4,331,4,Unemployed,Might be,12,15,Modified,0,40.2720781
Landing Page Submission,Direct Traffic,No,No,4,187,4,Unemployed,Unkown,13,18,Modified,0,2.799922284
API,Organic Search,No,No,3,1407,1.5,Unemployed,Might be,15,15,Modified,1,88.08427982
Lead Add Form,Reference,No,No,0,0,0,Working Professional,High in Relevance,15,18,Modified,1,95.14246541
Landing Page Submission,Google,No,No,1,123,1,Unemployed,Might be,14,13,Modified,0,27.04159849
API,Organic Search,No,No,1,100,1,Unemployed,Unkown,14,15,Modified,0,8.783117697
Landing Page Submission,Direct Traffic,No,No,9,1164,4.5,Unemployed,Might be,16,15,Email Opened,1,79.61578309
API,Olark Chat,No,No,0,0,0,Unknown,Unkown,15,15,Email Opened,0,14.46070476
Landing Page Submission,Direct Traffic,No,No,1,1362,1,Unemployed,Might be,14,14,Modified,1,69.98492002
API,Direct Traffic,No,No,7,1051,3.5,Unknown,Unkown,14,15,Modified,0,16.06694596
Landing Page Submission,Google,No,No,2,1816,2,Unemployed,Unkown,14,17,Modified,0,52.032665
Landing Page Submission,Direct Traffic,No,No,7,74,2.33,Unemployed,Not Sure,13,18,Modified,0,1.90598933
API,Organic Search,No,No,13,54,6.5,Unemployed,Not Sure,15,15,Email Opened,0,10.6119613
Landing Page Submission,Direct Traffic,No,No,3,1183,3,Unknown,Unkown,13,17,Email Opened,1,23.58399919
Landing Page Submission,Direct Traffic,No,No,3,66,3,Unemployed,Not Sure,14,14,Email Opened,0,4.565836592
API,Olark Chat,No,No,3,1122,1.5,Unknown,Unkown,15,15,Email Opened,0,54.57899445
Landing Page Submission,Organic Search,No,No,6,135,6,Unemployed,Might be,14,18,Email Opened,0,38.77680676
Landing Page Submission,Direct Traffic,No,No,9,307,1.8,Unknown,Unkown,14,18,Modified,0,3.127913392
Landing Page Submission,Organic Search,No,No,12,28,6,Unemployed,Might be,14,16,Email Opened,0,37.43838842
API,Olark Chat,No,No,0,0,0,Unemployed,Unkown,14,15,Email Opened,0,20.43038243
Landing Page Submission,google,No,No,5,306,5,Unknown,Unkown,14,13,Modified,0,4.553048426
Landing Page Submission,Direct Traffic,No,No,7,116,7,Unemployed,Low in Relevance,15,18,Email Opened,1,32.3245801
Landing Page Submission,Direct Traffic,No,No,2,1054,2,Unemployed,Not Sure,14,18,Email Opened,0,23.12689848
API,Organic Search,No,No,3,195,3,Unemployed,Might be,15,15,Modified,1,41.03537614
API,Olark Chat,No,No,0,0,0,Unknown,Unkown,17,15,Modified,0,6.98678892
Landing Page Submission,Google,No,No,3,732,3,Working Professional,Might be,14,17,Email Opened,1,92.59923703
API,Olark Chat,No,No,7,1130,2.33,Unemployed,Unkown,15,16,Modified,0,43.09144095
API,Organic Search,No,No,13,594,4.33,Unemployed,Not Sure,13,15,Modified,0,11.81650853
API,Organic Search,No,No,5,1117,5,Unknown,Unkown,15,15,Email Opened,0,43.28195317
API,Referral Sites,No,No,14,354,14,Unemployed,Might be,14,13,Modified,0,30.99837278
API,Google,No,No,3,217,3,Unemployed,Might be,13,15,Modified,0,38.26552348
API,Olark Chat,No,No,0,0,0,Unemployed,Unkown,15,15,Modified,0,9.640328329
API,Direct Traffic,No,No,5,1837,2.5,Unemployed,High in Relevance,14,17,Email Opened,1,91.08051355
Landing Page Submission,Google,No,No,1,302,1,Unknown,Unkown,14,17,Modified,0,4.343802172
Landing Page Submission,Google,No,No,6,32,6,Unknown,Unkown,15,18,Modified,0,1.935167607
Landing Page Submission,Direct Traffic,No,No,1,1226,1,Unemployed,Not Sure,14,17,Modified,0,14.91369527
Landing Page Submission,Google,No,No,4,144,4,Unknown,Unkown,13,17,Email Opened,0,6.066543715
API,Organic Search,No,No,2,631,1,Unemployed,Unkown,16,15,Modified,1,22.85692054
Landing Page Submission,Direct Traffic,No,No,1,891,1,Student,Low in Relevance,15,19,Modified,1,64.86736717
API,Olark Chat,No,No,0,0,0,Unemployed,Unkown,15,15,Modified,0,9.640328329
API,Google,No,No,3,235,3,Unknown,Unkown,14,15,Email Opened,0,14.02305312
Landing Page Submission,Google,No,No,2,453,2,Unknown,Unkown,12,15,Modified,0,4.71558385
API,Referral Sites,No,No,3,60,1.5,Unemployed,Unkown,14,13,Page Visited on Website,0,20.49874951
Lead Add Form,Welingak Website,No,No,0,0,0,Unemployed,Unkown,15,15,Modified,1,48.33320972
API,Organic Search,No,No,9,96,4.5,Unemployed,Unkown,13,15,Modified,0,6.883125061
Lead Add Form,Welingak Website,No,No,0,0,0,Unemployed,Unkown,14,15,Email Opened,1,69.24370103
API,Olark Chat,No,No,0,0,0,Unknown,Unkown,15,15,Modified,0,6.163964919
API,Referral Sites,No,No,11,825,11,Working Professional,Low in Relevance,17,15,Modified,1,91.22734386
API,Olark Chat,No,No,0,0,0,Unknown,Unkown,17,15,Olark Chat Conversation,0,14.44219826
API,Direct Traffic,No,No,11,10,5.5,Unemployed,Unkown,12,15,Page Visited on Website,0,7.83788003
Lead Add Form,Reference,No,No,3,1704,2,Unemployed,Might be,14,17,Modified,1,99.36455709
API,Organic Search,No,No,3,1154,1,Unemployed,Unkown,16,15,Modified,1,44.00057314
Lead Add Form,Reference,No,No,3,1262,2,Unemployed,High in Relevance,14,19,Modified,1,96.76705319
Lead Add Form,Reference,No,No,0,0,0,Working Professional,Might be,14,19,Email Opened,1,99.06565003
Landing Page Submission,Referral Sites,No,No,6,104,3,Unemployed,Unkown,15,15,Email Opened,1,13.86527798
API,Google,No,No,3,331,3,Unknown,Unkown,13,15,Email Opened,0,15.38196226
Landing Page Submission,Google,No,No,5,294,2.5,Unemployed,Not Sure,12,15,Email Opened,0,9.389657754
